Name,Style,Strengths,Weaknesses
Fredy Serrano,wrestler,"strong grappling, excellent takedown defense, cardio","limited striking, can be outpaced, struggles against high-level strikers"
Alex Oliveira,brawler,"powerful striking, versatile attacks, strong chin","defensive vulnerabilities, inconsistent fight IQ, grappling defense can falter"
Shamil Abdurakhimov,technical striker,"effective counter-striking, solid footwork, good boxing fundamentals","lacks speed, can be hesitant, grappling defense is a concern"
Timothy Johnson,pressure wrestler,"heavy hands, relentless pressure, strong wrestling base","limited striking variety, can be outmaneuvered, cardio issues in later rounds"
Taylor Lapilus,well-rounded,"good striking and grappling balance, adaptable game plan, solid conditioning","lacks finishing ability, can be too passive, struggles against elite competition"
Rocky Lee,striker,"quick footwork, powerful striking, effective distance management","vulnerability to grappling, inconsistent defensive techniques"
Stevie Ray,well-rounded,"solid grappling, versatile striking, good fight IQ","occasionally hesitant, can struggle against high-pressure opponents"
Izabela Badurek,submission specialist,"high-level grappling, excellent positional control, strong submission game","limited striking skills, can be taken down by stronger wrestlers"
Aleksandra Albu,brawler,"aggressive striking, knockout power, relentless pressure","defensive lapses, susceptibility to counterattacks"
Damian Stasiak,pressure wrestler,"strong takedowns, relentless pace, effective ground control","striking defense, limited striking output"
Mickael Lebout,well-rounded technician,"solid grappling, effective striking, good fight IQ","inconsistent aggression, limited knockout power"
Bartosz Fabinski,pressure wrestler,"strong takedowns, relentless pace, effective ground control","striking defense, susceptibility to submissions"
Garreth McLellan,brawler,"powerful striking, high volume, resilience","defensive lapses, cardio concerns in later rounds"
Maryna Moroz,submission specialist,"excellent grappling, dangerous on the ground, quick transitions","striking vulnerability, limited striking range"
Shane Campbell,striker,"technical striking, creativity, good footwork","grappling defense, tendency to be outpaced"
Ben Nguyen,striker,"excellent striking accuracy, quick footwork, strong boxing fundamentals","vulnerability to takedowns, inconsistent defense, limited grappling skills"
Jonavin Webb,submission specialist,"high-level grappling, effective at securing submissions, strong positional control","striking defense can be lacking, may struggle against powerful strikers, cardio issues in later rounds"
Levan Makashvili,pressure wrestler,"relentless pace, strong wrestling base, effective at controlling opponents","limited striking variety, can be susceptible to counter-strikes, stamina concerns in prolonged exchanges"
Islam Makhachev,well-rounded grappler,"elite grappling and wrestling, effective striking, high fight IQ","can be overly cautious, may rely too heavily on grappling, occasional striking defense lapses"
Leo Kuntz,brawler,"powerful striking, aggressive fighting style, ability to absorb damage","defensive vulnerabilities, limited technical striking, struggles against tactical fighters"
Tom Breese,striker with grappling,"powerful striking, effective grappling transitions, good fight IQ","injury-prone, inconsistent performance, defensive vulnerabilities"
Ericka Almeida,submission specialist,"high-level grappling, strong submission game, relentless pace","limited striking, can be outpaced, struggles against powerful strikers"
Elizeu Zaleski dos Santos,dynamic striker,"creative striking, excellent movement, strong cardio","defensive lapses, can be taken down, sometimes overcommits"
Nicolas Dalby,well-rounded fighter,"versatile skill set, solid striking and grappling, good adaptability","lacks knockout power, can be outwrestled, inconsistent aggression"
Darren Till,striker with countering,"powerful left hand, effective counter-striking, strong clinch game","defensive grappling issues, slow start in fights, can be overly reliant on power"
Magomed Mustafaev,striker,"powerful striking, effective kicks, good footwork","defensive grappling, cardio issues, susceptibility to pressure"
Arnold Allen,well-rounded,"versatile striking, solid grappling, high fight IQ","occasional overreliance on countering, limited finishing ability"
Lukasz Sajewski,grappler,"strong wrestling, effective submissions, good control on the ground","striking defense, slow pace, limited striking output"
Steve Kennedy,brawler,"aggressive striking, durability, knockout power","poor takedown defense, lack of technical finesse, high risk style"
Sirwan Kakai,pressure wrestler,"relentless pace, strong takedowns, effective ground and pound","striking vulnerability, stamina management, limited striking variety"
Steve Montgomery,striker,"powerful punches, good footwork, effective counter-striking","defensive vulnerabilities, limited grappling skills, stamina concerns"
Tony Sims,brawler,"aggressive approach, high volume striking, strong chin","defensive lapses, susceptibility to takedowns, cardio issues in later rounds"
Lewis Gonzalez,submission specialist,"excellent grappling, high-level submissions, strong positional control","striking defense, reliance on ground game, can be outpaced by strikers"
Joe Merritt,pressure wrestler,"relentless takedown attempts, cardio for grappling, effective ground-and-pound","limited striking arsenal, can struggle against counter-strikers, defensive grappling gaps"
Steve Bosse,power striker,"knockout power, aggressive fighting style, strong clinch work","defensive liabilities, grappling weaknesses, can tire quickly in exchanges"
Dominic Waters,striker,"effective footwork, diverse striking arsenal, good range management","defensive vulnerabilities, inconsistent grappling, struggles against pressure fighters"
Michelle Waterson,mixed martial artist,"elite grappling, versatile striking, high fight IQ","size disadvantage in some matchups, tendency to fight at opponent's pace, limited knockout power"
Michael Graves,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","striking defense issues, cardio concerns in later rounds, limited striking variety"
Vicente Luque,brawler,"powerful striking, excellent chin, aggressive fighting style","defensive lapses, susceptibility to grappling, can be drawn into brawls"
Kamaru Usman,pressure wrestler,"exceptional wrestling, powerful striking, high fight IQ","limited submission game, can be overly cautious, potential for over-reliance on wrestling"
Hayder Hassan,brawler,"powerful striking, aggressive pace, strong chin","limited grappling, defensive vulnerabilities, stamina concerns"
Lyman Good,striker,"technical striking, solid takedown defense, experience","cardio issues, susceptibility to grappling, inconsistent output"
Chris de la Rocha,heavy hitter,"knockout power, resilience, effective counter-striking","slow footwork, grappling deficiencies, limited fight IQ"
Jimmie Rivera,well-rounded,"excellent cardio, versatile skill set, strong wrestling","lacks finishing ability, can be outpaced, defensive lapses"
Teemu Packalen,submission specialist,"high-level grappling, effective submissions, good positional control","striking limitations, vulnerability to strikes, can be taken down"
Cortney Casey,striker with grappling,"versatile striking, solid takedown defense, good cardio","inconsistent fight IQ, struggles against elite grapplers, can be overly aggressive"
Dominique Steele,brawler,"powerful striking, relentless pressure, durable chin","limited technical skills, defensive vulnerabilities, cardio issues in later rounds"
Andrew Holbrook,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense, can be outpaced by strikers, limited striking output"
Jessica Aguilar,technical wrestler,"excellent wrestling, strong grappling transitions, high fight IQ","lack of knockout power, can be outstruck by powerful strikers, sometimes hesitant to engage"
Reginaldo Vieira,pressure grappler,"aggressive takedowns, effective ground control, well-rounded grappling","striking can be rudimentary, stamina concerns in prolonged exchanges, can be countered effectively"
Dileno Lopes,striker,"powerful striking, good footwork, effective counterattacks","defensive grappling, stamina management, occasional overcommitment"
Glaico Franca Moreira,submission specialist,"high-level grappling, excellent submission transitions, strong positional control","striking defense, reliance on grappling, can be outpaced in stand-up exchanges"
Fernando Bruno,pressure wrestler,"relentless takedown attempts, cardio, ability to control the pace","striking vulnerability, limited striking output, can struggle against counterstrikers"
Scott Holtzman,brawler,"durability, aggressive striking, effective clinch work","defensive lapses, susceptibility to takedowns, can be overly aggressive"
Jonathan Wilson,technician,"technical striking, fight IQ, adaptability in exchanges","lacks knockout power, can be hesitant, struggles against high-pressure fighters"
Oluwale Bamgbose,striker,"explosive power, quick footwork, versatile striking","defensive vulnerabilities, inconsistent fight IQ, grappling defense"
Geane Herrera,pressure fighter,"high output striking, relentless pace, strong cardio","defensive lapses, susceptibility to counterattacks, limited grappling"
Misha Cirkunov,submission specialist,"grappling prowess, effective ground control, strong submission skills","striking defense, tendency to gas out, vulnerability to stand-up exchanges"
Daniel Jolly,brawler,"toughness, knockout power, aggressive approach","lack of technical striking, poor defensive skills, limited grappling"
Joaquim Silva,well-rounded,"balanced skill set, effective striking and grappling, good fight IQ","inconsistency in performance, occasional hesitance, vulnerability to high-level grapplers"
Nazareno Malegarie,striker,"powerful striking, good footwork, effective counterpunching","defensive vulnerabilities, limited grappling, stamina issues"
Roger Zapata,pressure wrestler,"relentless pressure, strong takedowns, cardio","striking defense, susceptibility to submissions, overreliance on wrestling"
Yusuke Kasuya,submission specialist,"high-level grappling, creativity in transitions, effective submissions","stand-up striking, takedown defense, pace management"
Teruto Ishihara,brawler,"aggressive striking, knockout power, resilience","defensive lapses, grappling defense, inconsistent fight IQ"
Sage Northcutt,all-rounder,"versatile skill set, athleticism, explosive techniques","inexperience in high-level competition, mental toughness, defensive grappling"
Bruno Korea,striker,"powerful striking, excellent footwork, strong defensive skills","limited grappling, can be too aggressive, susceptibility to counters"
Matheus Nicolau,technician,"high fight IQ, versatile striking, solid grappling defense","lacks knockout power, can be overly cautious, sometimes struggles against pressure fighters"
Anton Zafir,brawler,"high volume striking, relentless pressure, good chin","defensive lapses, limited grappling, can tire in later rounds"
Cesar Arzamendia,submission specialist,"excellent grappling, strong submission game, good positional awareness","striking is underdeveloped, can be taken down, relies heavily on ground game"
Marco Polo Reyes,pressure fighter,"aggressive style, cardio, ability to push the pace","defensive vulnerabilities, can be outmaneuvered, lacks finesse in striking"
Vernon Ramos Ho,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, struggles against pressure fighters"
Alvaro Herrera Mendoza,submission specialist,"high-level grappling, effective at finding submissions, strong cardio","struggles in stand-up exchanges, can be taken down, slow starter"
Horacio Gutierrez,pressure wrestler,"relentless takedown attempts, strong ground control, good stamina","limited striking, can be outpaced, susceptible to counterattacks"
Enrique Barzola,well-rounded,"versatile skill set, effective striking and grappling, good fight IQ","can be inconsistent, sometimes lacks urgency, prone to being outmuscled"
Erick Montano,brawler,"aggressive striking, high volume output, strong chin","defensive lapses, limited technical striking, can tire quickly"
Enrique Marin,striker,"good footwork, powerful kicks, effective countering","defensive vulnerabilities, inconsistent grappling, limited takedown defense"
Dong Hyun Ma,brawler,"high pressure, durability, strong chin","technical striking limitations, grappling defense issues, tendency to absorb damage"
Danny Roberts,striker,"dynamic striking, solid boxing skills, good movement","grappling defense concerns, can be taken down, sometimes overcommits"
Nathan Coy,pressure wrestler,"strong grappling base, relentless pace, effective ground control","limited striking, can be outpaced, struggles against high-level strikers"
Chris Gruetzemacher,all-rounder,"versatile skill set, good cardio, effective in both striking and grappling","lacks knockout power, can be outmaneuvered, sometimes hesitant to engage"
Abner Lloveras,submission specialist,"high-level grappling, excellent submission skills, strong positional control","limited striking volume, can struggle against powerful strikers, sometimes overly reliant on grappling"
Julian Erosa,brawler,"high output striking, durability, effective at creating chaos in exchanges","defensive vulnerabilities, can be drawn into brawls, inconsistent fight IQ"
Marcin Wrzosek,technical striker,"well-rounded striking, good footwork, effective at range control","grappling defense can be exploited, sometimes hesitant to engage, can lack urgency in fights"
Jason Knight,pressure fighter,"relentless pace, strong boxing skills, effective at cutting off the cage","defensive lapses, can be susceptible to counter-strikes, stamina management issues in later rounds"
Artem Lobov,brawler,"powerful striking, toughness, effective at close range","limited technical skill set, defensive liabilities, can be outpointed by more technical fighters"
Ryan Hall,submission specialist,"exceptional grappling, high-level jiu-jitsu, effective at controlling opponents on the ground","limited striking output, can be vulnerable to powerful strikers, relies heavily on ground game"
Jocelyn Jones-Lybarger,well-rounded striker,"versatile striking, good cardio, solid takedown defense","occasionally hesitant in exchanges, can struggle against aggressive opponents, needs improvement in grappling"
Francis Ngannou,power striker,"explosive knockout power, strong physical presence, effective in clinch situations","limited grappling skills, can tire quickly in prolonged exchanges, defensive vulnerabilities against skilled wrestlers"
Luis Henrique,pressure grappler,"strong wrestling base, relentless pressure, good at securing takedowns","striking is less developed, can be outpaced by faster opponents, stamina issues in later rounds"
Valentina Shevchenko,technical striker,"high-level striking accuracy, exceptional fight IQ, strong defensive skills","can be overly cautious at times, may struggle against aggressive fighters, limited ground game compared to striking"
Karolina Kowalkiewicz,striker,"excellent boxing skills, high volume output, strong durability","vulnerable to grappling, lacks knockout power, can be outpaced"
Justine Kish,pressure fighter,"relentless pace, strong grappling, effective striking combinations","can be countered, stamina management issues, limited finishing ability"
Alex Morono,well-rounded,"versatile striking, solid grappling, good fight IQ","inconsistent performance, can struggle against elite competition, defensive lapses"
Elvis Mutapcic,brawler,"powerful striking, aggressive style, strong chin","defensive vulnerabilities, cardio concerns, limited ground game"
Joey Gomez,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense issues, can be taken down, relies heavily on grappling"
Kyle Bochniak,brawler,"high volume striking, durability, relentless pressure","defensive vulnerabilities, limited grappling, stamina management"
Luke Sanders,technical striker,"speed, footwork, diverse striking arsenal","grappling defense, inconsistency, susceptibility to power shots"
Mehdi Baghdad,kickboxer,"striking precision, range control, effective countering","takedown defense, grappling transitions, cardio in later rounds"
Felipe Olivieri,submission specialist,"grappling expertise, submission variety, ground control","striking defense, stand-up game, reliance on grappling"
Randy Brown,well-rounded,"adaptability, striking and grappling balance, fight IQ","defensive lapses, occasional overconfidence, inconsistency in performance"
Mickey Gall,submission specialist,"excellent grappling, strong submission game, effective ground control","striking defense, inconsistent striking output, limited stand-up skills"
Mike Jackson,striker,"creative striking, good footwork, solid cardio","defensive grappling, susceptibility to pressure, lacks knockout power"
Damian Grabowski,pressure wrestler,"strong takedowns, relentless pace, effective ground and pound","limited striking range, can be outpaced, struggles against high-level grapplers"
Alex Nicholson,brawler,"powerful strikes, aggressive style, good chin","defensive vulnerabilities, low fight IQ, can be outmaneuvered"
Kelly Faszholz,technical striker,"precise striking, good movement, effective countering","grappling defense, can be overwhelmed by pressure, limited experience at high levels"
Leonardo Guimaraes,submission specialist,"excellent grappling, high-level jiu-jitsu, strong positional control","limited striking output, can be taken down, struggles against powerful wrestlers"
Augusto Mendes,technical striker,"precise striking, good footwork, effective counter-punching","vulnerability to pressure, less effective in grappling exchanges, stamina concerns in later rounds"
David Teymur,brawler,"powerful punches, aggressive fighting style, strong chin","defensive lapses, limited grappling skills, can be outpaced by faster opponents"
Martin Svensson,pressure wrestler,"strong takedown ability, relentless pace, effective ground and pound","striking defense is lacking, can tire out quickly, struggles against skilled strikers"
Thibault Gouti,well-rounded fighter,"versatile skill set, balanced striking and grappling, good fight IQ","inconsistency in performance, can be hesitant to engage, may struggle against elite competition"
Jarjis Danho,brawler,"powerful striking, aggressive approach, durability","limited grappling, susceptibility to counter-strikes, cardio concerns"
Damien Brown,technical striker,"well-rounded striking, good fight IQ, effective at range","defensive lapses, grappling defense vulnerabilities, inconsistent output"
Alessio Di Chirico,counter striker,"precise striking, strong defensive skills, good footwork","slow starter, can be too passive, grappling limitations"
Bojan Velickovic,pressure fighter,"high volume striking, relentless pace, solid chin","defensive liabilities, struggles against elite grapplers, stamina issues in later rounds"
Cyril Asker,grappler,"strong wrestling base, effective ground control, submission skills","striking defense weaknesses, limited striking output, can be outpaced"
Filip Pejic,striker,"powerful striking, effective distance management, solid footwork","defensive grappling vulnerabilities, inconsistent fight IQ"
Damir Hadzovic,brawler,"aggressive striking, high output, strong chin","defensive lapses, susceptibility to counter-strikes"
Cristina Stanciu,technician,"technical striking, excellent movement, well-rounded skill set","limited power, struggles against aggressive opponents"
Marcin Tybura,pressure wrestler,"strong grappling, effective takedowns, cardio for extended fights","striking defense, can be outpaced by faster opponents"
Curtis Blaydes,wrestler,"elite wrestling, ground control, heavy hands","striking defense, can be vulnerable to submissions"
Darrell Horcher,well-rounded striker,"versatile striking, solid grappling, good fight IQ","inconsistent pace, defensive vulnerabilities, limited finishing ability"
Cody East,power striker,"explosive power, effective in clinch, strong physicality","defensive lapses, cardio concerns, limited grappling skills"
Josh Emmett,brawler,"heavy hands, resilience, aggressive pressure","defensive liabilities, reliance on power, potential for overextending"
Anna Elmose,technical striker,"precision striking, strong footwork, effective countering","grappling defense, tendency to engage in brawls, stamina issues"
Luan Chagas,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense, limited striking output, reliance on ground game"
Cristiane Justino,striker,"powerful striking, aggressive pace, excellent clinch work","defensive grappling, stamina management, limited ground game"
Adam Milstead,brawler,"heavy hands, resilience, knockout power","defensive vulnerabilities, cardio issues, limited grappling"
Alberto Uda,technician,"technical striking, solid footwork, effective countering","lack of finishing ability, grappling defense, sometimes hesitant"
Jordan Rinaldi,submission specialist,"high-level grappling, effective submissions, good fight IQ","striking defense, cardio concerns, limited striking output"
Henrique da Silva,pressure wrestler,"strong takedowns, relentless pressure, good ground control","striking defense, susceptibility to counterstrikes, stamina issues"
Jonathan Meunier,striker,"effective striking accuracy, solid footwork, good defensive skills","limited grappling, can be outpaced, struggles against pressure fighters"
Ion Cutelaba,brawler,"explosive power, aggressive pace, strong wrestling base","defensive vulnerabilities, cardio issues in later rounds, lacks technical finesse"
Belal Muhammad,pressure wrestler,"high fight IQ, relentless pace, effective grappling transitions","limited knockout power, can be outstruck, sometimes overly reliant on wrestling"
Cory Hendricks,all-rounder,"versatile skill set, adaptability in fights, solid conditioning","inconsistency in performance, can be outmaneuvered, lacks finishing ability"
Josh Stansbury,grappler,"strong submission skills, effective ground control, good takedown defense","striking defense can be lacking, slow starter, can struggle against high-level strikers"
Will Brooks,technical striker,"excellent footwork, diverse striking arsenal, strong takedown defense","inconsistent fight IQ, struggles against high-pressure opponents"
Tatiana Suarez,pressure wrestler,"elite grappling skills, relentless pace, strong ground control","limited striking range, can be vulnerable to counter-strikes"
Amanda Cooper,striker with submission skills,"effective boxing, solid grappling defense, good cardio","defensive vulnerabilities, can be outpaced by faster opponents"
Andrew Sanchez,well-rounded fighter,"strong wrestling base, effective striking, good fight IQ","occasionally too cautious, can struggle against elite strikers"
Khalil Rountree Jr.,power striker,"explosive knockout power, aggressive striking style, strong clinch game","defensive liabilities, can gas out in later rounds"
Devin Clark,pressure wrestler,"strong grappling, cardio, resilience","striking defense, limited striking variety, susceptibility to submissions"
Matthew Lopez,brawler,"powerful striking, aggressive pace, durability","defensive lapses, cardio management, tendency to engage in brawls"
Eric Spicely,submission specialist,"high-level grappling, submission skills, fight IQ","striking defense, takedown defense, reliance on ground game"
Katlyn Chookagian,technical striker,"volume striking, footwork, distance management","power limitations, grappling vulnerability, tendency to fight at range"
Lando Vannata,creative striker,"dynamic striking, unpredictability, athleticism","defensive holes, inconsistent fight IQ, grappling defense"
Dmitrii Smoliakov,Brawler,"Powerful striking, aggressive approach, high durability","Limited grappling skills, defensive vulnerabilities, stamina issues"
JC Cottrell,Technician,"Well-rounded skill set, effective striking and grappling, good fight IQ","Lacks knockout power, can be too cautious, struggles against pressure fighters"
Bojan Mihajlovic,Pressure Fighter,"Relentless pace, strong clinch game, effective body shots","Cardio management concerns, susceptibility to counter-strikes, limited ground game"
Hector Sandoval,Submission Specialist,"Exceptional grappling, dangerous submissions, good positional awareness","Striking defense issues, can be outpaced, relies heavily on ground game"
Chase Sherman,Brawler,"Heavy hands, high volume striking, resilience in exchanges","Defensive lapses, grappling deficiencies, can be outmaneuvered"
Justin Ledet,striker,"powerful striking, good footwork, effective distance management","vulnerability to grappling, limited ground game, inconsistent defense"
Jason Novelli,grappler,"strong wrestling base, effective submissions, good control on the ground","striking defense, limited striking output, cardio concerns in later rounds"
Danielle Taylor,striker,"quick hands, solid head movement, excellent counter-striking","grappling defense, tendency to fight at a distance, lower power in strikes"
Joseph Gigliotti,pressure fighter,"high output striking, relentless pace, good chin","defensive lapses, susceptibility to counter-strikes, stamina issues in prolonged exchanges"
Marvin Vettori,pressure wrestler,"strong grappling, effective striking, high fight IQ","overreliance on wrestling, can be outpaced by faster fighters, occasional striking defense lapses"
Max Griffin,striker,"powerful striking, solid footwork, good defensive skills","inconsistent grappling, can be outpaced, occasionally overcommits"
Chris Avila,brawler,"high pressure, durable, effective in exchanges","limited technical striking, struggles against skilled grapplers, can be reckless"
Sabah Homasi,pressure striker,"aggressive style, strong clinch game, good cardio","defensive lapses, can be taken down, lacks versatility in striking"
Mike Perry,brawler,"heavy hands, relentless aggression, excellent chin","poor takedown defense, limited technical skills, can be outsmarted"
Jeremy Kennedy,pressure wrestler,"strong grappling, effective ground control, good fight IQ","striking is underdeveloped, can be outstruck, sometimes relies too much on wrestling"
Alex Ricci,striker,"versatile striking, good footwork, effective counter-punching","defensive grappling, inconsistent output, susceptibility to pressure"
Felipe Silva,brawler,"powerful punches, aggressive style, high finishing rate","defensive vulnerabilities, cardio issues, limited grappling skills"
Jack Hermansson,pressure wrestler,"strong grappling, relentless pace, effective submissions","striking defense, susceptibility to counter-strikes, stamina management"
Christian Colombo,heavyweight striker,"powerful striking, solid chin, experience in stand-up exchanges","slow footwork, grappling deficiencies, limited agility"
Veronica Macedo,technical striker,"precise striking, good movement, solid fight IQ","grappling defense, inconsistent aggression, reliance on striking range"
Jessin Ayari,technical striker,"excellent footwork, diverse striking arsenal, solid defensive skills","lacks knockout power, can be outpaced by aggressive fighters, sometimes hesitant to engage"
Jim Wallhead,grappler,"strong wrestling base, effective ground control, good cardio","limited striking range, can struggle against high-level strikers, occasionally overcommits to takedowns"
Jason Gonzalez,brawler,"powerful punches, aggressive fighting style, resilient in exchanges","defensive lapses, can be outmaneuvered, stamina issues in prolonged fights"
Michael McBride,submission specialist,"high-level grappling, effective submissions, strong positional awareness","striking is underdeveloped, can be taken down by stronger wrestlers, relies heavily on ground game"
CM Punk,striker with grappling attempts,"good boxing fundamentals, decent clinch work, strong mental toughness","limited MMA experience, struggles against seasoned grapplers, lacks speed and agility"
Albert Morales,striker,"effective striking, good footwork, solid cardio","defensive vulnerabilities, inconsistent grappling, limited finishing ability"
Ricky Glenn,well-rounded,"versatile skill set, strong grappling, effective striking combinations","tendency to absorb damage, sometimes lacks urgency, defensive lapses"
Gregor Gillespie,pressure wrestler,"elite wrestling, relentless pace, strong grappling control","striking defense concerns, can be overly aggressive, limited striking variety"
Lina Lansberg,striker,"technical striking, good clinch work, experience in tough fights","grappling defense issues, struggles against high-pressure opponents, limited finishing power"
Ketlen Vieira,submission specialist,"high-level grappling, effective submission game, strong physicality","striking defense gaps, can be slow to adapt, cardio concerns in later rounds"
Joachim Christensen,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina issues, limited ground game"
Brandon Moreno,scrambler,"high-level grappling, relentless pace, strong submissions","striking defense, occasional overcommitment, vulnerability to powerful strikers"
Zak Ottow,pressure fighter,"aggressive striking, solid cardio, effective clinch work","defensive vulnerabilities, susceptibility to takedowns, inconsistent fight IQ"
Marc Diakiese,dynamic striker,"explosive speed, versatile striking, strong takedown defense","grappling offense, can be outpaced, sometimes lacks aggression"
Alexa Grasso,technical striker,"precise striking, high fight IQ, strong defensive skills","limited power, grappling vulnerability, can be hesitant at times"
Martin Bravo,brawler,"powerful striking, aggressive pace, strong chin","defensive vulnerabilities, limited grappling, stamina issues"
Claudio Puelles,submission specialist,"excellent grappling, high-level submissions, strategic fight IQ","striking defense, slow starter, cardio concerns in later rounds"
Marcin Held,technical grappler,"advanced submission skills, effective takedowns, positional control","striking limitations, can be outpaced, reliance on grappling"
Charlie Ward,pressure striker,"high volume striking, relentless forward movement, good clinch work","defensive lapses, susceptibility to counterattacks, cardio management"
Abdul Razak Alhassan,knockout artist,"explosive power, quick hands, aggressive fighting style","grappling defense, limited ground game, over-reliance on striking"
Brett Johns,submission specialist,"excellent grappling, strong submission game, good cardio","striking defense, can be outpaced, limited striking variety"
Kwan Ho Kwak,striker,"powerful punches, quick footwork, effective counter-striking","vulnerable to takedowns, inconsistent defense, can be overly aggressive"
Mark Godbeer,brawler,"heavy hands, knockout power, resilient","defensive lapses, struggles with grappling, limited technical striking"
Jack Marshman,pressure fighter,"high volume striking, relentless pace, tough chin","defensive liabilities, slow to adapt, cardio management issues"
Alexander Volkov,technical striker,"long reach, precise striking, effective distance control","grappling defense, can be pressured, occasionally too patient"
Darren Stewart,striker,"powerful striking, good movement, effective countering","defensive grappling, cardio issues, inconsistent fight IQ"
Gadzhimurad Antigulov,submission specialist,"excellent grappling, strong submissions, aggressive pace","striking defense, stamina concerns, vulnerability to stand-up exchanges"
Jenel Lausa,technical striker,"solid boxing, good footwork, effective combinations","takedown defense, limited power, susceptibility to pressure"
Tyson Pedro,well-rounded,"versatile skill set, strong grappling, powerful striking","inconsistent performance, defensive lapses, reliance on grappling"
Alexander Volkanovski,pressure fighter,"high fight IQ, relentless pace, exceptional cardio","limited finishing ability, occasionally overcommits, can be outmuscled"
Jamie Moyle,grappler,"strong wrestling base, effective submissions, good cardio","limited striking power, defensive vulnerabilities, inconsistent striking volume"
Matt Schnell,striker,"quick hands, excellent footwork, high output striking","defensive lapses, susceptible to grappling, stamina concerns in later rounds"
JJ Aldrich,technical striker,"solid boxing fundamentals, good fight IQ, effective counter-striking","limited power, struggles against pressure fighters, grappling defense can be exploited"
Ryan Janes,pressure fighter,"high volume striking, relentless pace, strong clinch work","defensive liabilities, can be outmaneuvered, stamina issues in prolonged exchanges"
Shane Burgos,brawler,"powerful striking, aggressive style, durability","defensive shortcomings, takes damage, can be outpointed by technical strikers"
Gerald Meerschaert,submission specialist,"excellent grappling, strong submission skills, durable","striking defense, slow starter, can be outpaced"
Brian Camozzi,striker,"creative striking, good range management, solid cardio","grappling defense, inconsistent output, vulnerable to pressure"
Ashley Yoder,pressure wrestler,"strong takedowns, relentless pace, good ground control","striking technique, defensive vulnerabilities, stamina management"
Saparbeg Safarov,brawler,"powerful strikes, aggressive style, high volume","defensive lapses, limited grappling, can be reckless"
Viviane Pereira,technical striker,"precise striking, solid footwork, good fight IQ","grappling defense, can be outmuscled, lacks knockout power"
Emil Meek,brawler,"powerful striking, aggressive pace, durability","defensive grappling, technical striking defense, cardio management"
Irene Aldana,striker,"effective boxing, solid footwork, knockout power","grappling defense, susceptibility to pressure, inconsistent output"
Paul Craig,submission specialist,"high-level grappling, strong submission skills, resilience","striking defense, slow start in fights, limited striking volume"
Niko Price,wild striker,"unorthodox striking, finishing ability, creativity in exchanges","defensive lapses, grappling vulnerability, inconsistency"
Devin Powell,well-rounded,"versatile skill set, good cardio, adaptability","lacks elite finishing ability, striking power, grappling depth"
Drakkar Klose,striker,"powerful striking, solid footwork, effective counterattacks","defensive grappling, susceptibility to takedowns, limited submission skills"
Alexandre Pantoja,submission specialist,"high-level grappling, excellent transitions, aggressive submissions","striking defense, cardio management, tendency to engage in brawls"
Eric Shelton,pressure wrestler,"strong wrestling base, relentless pace, effective ground control","striking output, defensive striking, vulnerability to counterstrikes"
Jeremy Kimball,brawler,"heavy hands, high aggression, willingness to engage","poor defensive strategy, limited technical striking, grappling deficiencies"
Jordan Johnson,well-rounded,"versatile skill set, strong wrestling, effective striking","inconsistent fight IQ, occasional lack of urgency, grappling over-reliance"
Bobby Nash,brawler,"powerful striking, aggressive pace, resilience","defensive vulnerabilities, limited grappling, stamina management"
Ricardo Ramos,technical striker,"versatile striking, solid footwork, fight IQ","grappling defense, inconsistent output, susceptibility to pressure"
Marcel Fortuna,submission specialist,"high-level grappling, effective submissions, adaptability","striking defense, cardio issues, reliance on ground game"
Volkan Oezdemir,counter striker,"explosive power, timing, strong takedown defense","grappling offense, over-reliance on striking, potential for being outpaced"
Aiemann Zahabi,well-rounded,"balanced skill set, effective wrestling, strategic mindset","lacks knockout power, can be overly cautious, grappling exchanges can be predictable"
Gina Mazany,pressure striker,"high volume striking, solid cardio, effective clinch work","defensive vulnerabilities, grappling defense can be exploited"
Gavin Tucker,technical striker,"excellent footwork, diverse striking arsenal, strong fight IQ","can be taken down, lacks knockout power"
Andre Soukhamthath,counter striker,"quick reflexes, strong boxing skills, good at reading opponents","struggles against pressure fighters, grappling defense is lacking"
Daniel Spitz,kickboxer,"long reach, powerful kicks, good distance management","grappling defense is weak, can be outpaced by faster opponents"
Cynthia Calvillo,grappling specialist,"strong wrestling base, effective submissions, good top control","striking defense can be poor, struggles against high-level strikers"
Paulo Costa,brawler,"powerful striking, aggressive pressure, excellent chin","limited grappling, cardio concerns, susceptibility to leg kicks"
Davi Ramos,submission specialist,"high-level grappling, excellent submission skills, strong positional control","striking defense, limited striking output, can be taken down"
Lucie Pudilova,striker,"volume striking, good footwork, solid defensive skills","grappling vulnerability, inconsistent fight IQ, sometimes lacks power"
Bibulatov Magomed,technical striker,"precise striking, strong counter-punching, good movement","grappling defense, can be outpaced, occasional over-reliance on striking"
